Año,Tipo de animal,REGION,Latitud,Longitud,TIPO DE INTERVENCION
2025,EQUINO,CONFLUENCIA,-38.9554691,-68.2228188,DISPERSION DE ANIMALES
2025,EQUINO,CONFLUENCIA,-38.847083,-68.343556,SINIESTRO VIAL
2024,EQUINO,CONFLUENCIA,-39.259056,-68.851917,SINIESTRO VIAL
2024,EQUINO,CONFLUENCIA,-39.259056,-68.851917,SINIESTRO VIAL
2024,EQUINO,CONFLUENCIA,-39.230806,-68.781861,SINIESTRO VIAL
2024,EQUINO,CONFLUENCIA,-39.219417,-68.771639,SINIESTRO VIAL
2024,EQUINO,CONFLUENCIA,-39.296500,-68.902722,SINIESTRO VIAL
2025,EQUINO,CONFLUENCIA,-39.248111,-68.801556,SINIESTRO VIAL
2024,EQUINO,CONFLUENCIA,-38.9444218,-68.1993359,SINIESTRO VIAL
2024,EQUINO,CONFLUENCIA,-38.76179,-68.1561249,SINIESTRO VIAL
2024,EQUINO,CONFLUENCIA,-38.762635,-68.1950043,SINIESTRO VIAL
2024,CAN,CONFLUENCIA,-38.77747,-68.1399435,SINIESTRO VIAL
2025,CAN,CONFLUENCIA,-38.751238,-68.187068,SINIESTRO VIAL
2025,EQUINO,CONFLUENCIA,-38.757444,-68.1619399,SINIESTRO VIAL
2025,EQUINO,CONFLUENCIA,-38.756013,-68.162648,SINIESTRO VIAL
2025,EQUINO,CONFLUENCIA,-38.61953,-68.398459,SINIESTRO VIAL
2025,VACUNO,CONFLUENCIA,-38.61953,-68.398459,SINIESTRO VIAL
2025,VACUNO,CONFLUENCIA,-38.61953,-68.398459,SINIESTRO VIAL
2025,VACUNO,CONFLUENCIA,-38.61953,-68.398459,SINIESTRO VIAL
2025,EQUINO,CONFLUENCIA,-38.61366,-68.4202937,SINIESTRO VIAL
2025,EQUINO,CONFLUENCIA,-38.700308,-68.2617229,SINIESTRO VIAL
2025,CAN,CONFLUENCIA,-38.781413,-68.1463949,SINIESTRO VIAL
2024,EQUINO,COMARCA,-38.988935,-68.911949,SINIESTRO VIAL
2024,EQUINO,COMARCA,-38.989769,-68.918129,SINIESTRO VIAL
2024,EQUINO,COMARCA,-38.787139,-69.129131,SINIESTRO VIAL
2024,EQUINO,COMARCA,-38.753378,-69.117887,SINIESTRO VIAL
2025,EQUINO,COMARCA,-38.989769,-68.918129,SINIESTRO VIAL
2024,VACUNO,COMARCA,-38.950399,-69.389267,SINIESTRO VIAL
2024,VACUNO,COMARCA,-38.983528,-68.985323,SINIESTRO VIAL
2024,VACUNO,COMARCA,-38.991114,-68.927200,SINIESTRO VIAL
2024,VACUNO,COMARCA,-38.991114,-68.927200,SINIESTRO VIAL
2024,VACUNO,COMARCA,-38.991114,-68.927200,SINIESTRO VIAL
2024,EQUINO,COMARCA,-38.869644,-69.165185,SINIESTRO VIAL
2025,EQUINO,COMARCA,-38.991179,-68.928777,SINIESTRO VIAL
2025,VACUNO,COMARCA,-38.967483,-69.032070,SINIESTRO VIAL
2025,EQUINO,COMARCA,-39.093415,-69.239441,SINIESTRO VIAL
2025,OVINO,COMARCA,-38.985626,-68.979746,SINIESTRO VIAL
2025,EQUINO,COMARCA,-38.695492,-69.082896,SINIESTRO VIAL
2025,CAPRINO,COMARCA,-38.991114,-68.927200,SINIESTRO VIAL
2025,VACUNO,COMARCA,-38.983528,-68.985323,SINIESTRO VIAL
2025,VACUNO,VACA MUERTA,-38.939149,-69.301521,SINIESTRO VIAL
